from,to,namespace,comment
"Bishop of Ely, England (Anglican)",Bishop of Ely,0,
Poison-ivy,Poison-ivy (plant),0,As per [[Violet (plant)]] / [[Violet]]
Headphone amplifiers,Headphone amplifier,0,Plural -> singular article name
Late-November 2005 tornado outbreak,Late-November 2005 Tornado Outbreak,0,"Outbreaks are generally considered to be proper, thus should be capitalized (and it's easier now with no link than later)."
"Bishop of Lincoln, England (Anglican)",Bishop of Lincoln,0,revert. These were all made with no discussion whatsoever. See discussion on [[WP:AN/I#Anglican_Bishophoric_moves]]
"Bishop of Winchester, England (Anglican)",Bishop of Winchester,0,revert. These were all made with no discussion whatsoever. See discussion on [[WP:AN/I#Anglican_Bishophoric_moves]]
420 (drug culture),420 (cannabis culture),0,"""drug culture"" objectionable to some, not without reason"
Birchview Elementary School,"Birchview Elementary School (Plymouth, Minnesota)",0,Qualify common school name
The Houses of the Molé,Houses of the Molé,0,"There is no ""The"" in the album title"
"Faculty of Engineering,University of Melbourne","Faculty of Engineering, University of Melbourne",0,put a space in the title after the comma
Senorita (Timberlake),Senorita (song),0,as per wiki naming guidelines
Roman governors of Brittania,Roman governors of Britannia,0,typo
The Battle of He Fei,Battle of He Fei,0,"Military History convention is that titles should be ""Battle of"", not ""The Battle of"""
Characters of the Prince of Persia series,Allies from the Prince of Persia series,0,
TEMA (group),TEMA (band),0,
November in Malaysia and Singapore,November 2005 in Malaysia and Singapore,0,Corrected page title
Cafe,Cafe (disambiguation),0,
Christian Voice (disambiguation),Christian Voice,0,dab
"Koundhouse, Nevada","Moundhouse, Nevada",0,
List of shopping malls,List of shopping malls by country,0,being bold and cleaning up the mess
Two Envelopes problem,Two envelopes problem,0,"downcasing, no need for big e in here"
The Armour-Bearer,Armour-Bearer,0,
Heian Period,Heian period,0,
Psycho-babble,Psychobabble (jargon),0,"1. Disambiguation from Psycho-Babble_(virtual_community)
2. ALL dictionary spelling of this term are without hyphen"
Cycle graph,Cyclic graph,0,This is a special case of a cycle graph. I'll put up something for the general case also
Ioan Potcoavă,Ioan Potcoava,0,
Badge of the Cadet Instructors Corps,Badge of the Cadet Instructors Cadre,0,Wrong expansion of abbreviation
Ang dating daan,Ang Dating Daan,0,caps
List of Iowa numbered highways,Iowa State Highways,0,
Howelsen ski area,Howelsen Ski Area,0,
December 2005 protest for in Hong Kong,December 2005 protest in Hong Kong,0,remove for
Blake mitchell,Blake Mitchell,0,capitalization of last name
Alan Dershowitz/old,Alan Dershowitz,0,oops
Banka (India),Banka District,0,dab
Uprightness of all Sahaba,Uprightness of all Sahaba (Sunni doctrine),0,Like [[Virgin Birth (Christian doctrine)]]
Moradabad division,Moradabad Division,0,harmonize
Fatehpur district,Fatehpur District,0,
Seasons Of Love,Seasons of Love,0,
Pease,Pease Air Force Base,0,full title
Burn The Priest,Burn the Priest (album),0,
Congratulations and be prosperous,Kung hei fat choi,0,To revert an undiscussed move.
StumpWM,Stumpwm,0,"oops. appears I got the title wrong. easy mistake.
"
Aberdeenshire (unitary authority area),Aberdeenshire (council area),0,std descriptor
Brian Chase (Wikipedia hoaxer),Brian Chase (hoaxer),0,no need for two disambig words when one will do
Word Ways,Word Ways: The Journal of Recreational Linguistics,0,disambig
CKEY,CKEY-FM,0,add broadcast suffix per [[Wikipedia:WikiProject Radio Stations]]
"Pest, Hungary",Pest (city),0,see talk page
CKVR,CKVR-TV,0,
El Dorado (myth),El Dorado (legend),0,El Dorado is a [[legend]] rather than a [[myth]]
Michael May,Michel May,0,correct name
Harold C. Urey,Harold Clayton Urey,0,full name move
CHAU,CHAU-TV,0,add broadcast suffix per policy on broadcast stations
List of minor Doctor Who villains,List of Doctor Who villains,0,to ease navigation
WBNA,WBNA-TV,0,add broadcast suffix per policy on broadcast stations
KNME,KNME-TV,0,add broadcast suffix per policy on broadcast stations
Terrasdfdf istdf,Terrist,0,revert User:BillRoller vandalism
The Cheetah Girls (film,The Cheetah Girls (DCOM),0,
Anatoli Vasilevich Lunacharsky,Anatoliy Vasilievich Lunacharsky,0,Incorrect name
"Balint Balassa, baron of Kekk and Gyarmat",Bálint Balassa,0,
Abra (traditional boat),Abra (boat),0,
The BlackWallstreet East,The Black Wall Street East,0,All the words should be seperate.
Mihailo Mihailović,Mijailo Mihailović,0,"Man's name is Mijailo, not Mihajlo (as all other wikipedia editions got it)"
Power Of Love,Power of Love,0,capitalisation
Yandabo,Treaty of Yandabo,0,
Tehri,Tehri Garhwal,0,"The better-known name, now more important since Tehri is soon being submerged by the eponymous dam"
East Sea,East Sea (disambiguation),0,
Liberal,Liberal (disambiguation),0,"Per [[WP:RM]] and [[Talk:Liberal]], to fix links to the page, listed since 9th December"
Sham,Sham (place),0,disambiguation.
Channel 7 Melbourne,Seven Melbourne,0,Correct and more appropriate name.
Wide World of Sports,Wide World of Sports (disambiguation),0,
Jun Ishikawa,Jun Ishikawa (author),0,Making way for disambiguation page
Macro virus,Macro virus (computing),0,
French franc,French Franc,0,
CAMRA,Campaign for Real Ale,0,easier to understand
Match of The Millenium,Match of The Millennium,0,Another page with this misspelling.  The actual game has the correct spelling.  http://www.amazon.com/gp/product/customer-images/B00004RBOX/ref=cm_ciu_pdp_images_0/002-9133270-3012052?%5Fencoding=UTF8&s=videogames&index=0#gallery
"Bishop of Worcester, England (Anglican)",Bishop of Worcester,0,no ambiguity in title
Levi Vega,Levi Vega Martinez,0,
HORSE the band,Horse the Band,0,
Speaker of Lok Sabha,Speaker of the Lok Sabha,0,seems like more appropriate grammar
"""Volunteers for Israel"" - (VFI)",Volunteers for Israel,0,naming conventions
Lord Shiva,Shiva,0,Most common name.
Spectroscopy con las ruedas!!!!!!!!,Spectroscopy,0,reverted {{Wow}} vandal
Reconstruction filter auf Rädern,Reconstruction filter,0,revert
"Victoria, Lady Welby","Victoria Welby-Gregory, Lady Welby",0,
Flora (goddess),Flora (mythology),0,"consistent with [[Venus (mythology)]], etc."
Battle of He Fei,Battle of Hefei,0,correct name following covention
"Nippes, Haiti",Nippes Department,0,whoops
Snowy owl,Snowy Owl,0,restoring
Sointula,"Sointula, British Columbia",0,
Awesome,Awesome (video game),0,Making room for disambig page (see talk)
Great Old Ones,Great Old One,0,request
American Jihad (book),American Jihad: The Terrorists Living Among Us,0,Correct book title
Nez Percé Wars,Nez Perce Wars,0,Federal government naming and preference by tribal members
1. Matt Bath,Matt Bath,0,move to actual name
Luis Ignacio de la Vega Leija,Luis Ignacio de la Vega,0,
Future Business Leaders of America,FBLA-PBL,0,Cut n' paste move fix: Step 3
Nurse Practitioner,Nurse practitioner,0,caps
Punjabi language,Punjabi,0,"What other ""Punjabis"" are there?"
Keb,"Kep, Cambodia",0,"Keb = 16,100 google hits
Kep = 47,800"
Nokia N- series,Nokia N-series,0,
Oil of Olay,Olay,0,The name changed to Olay in 1999.  'Oil of' is gone.
Hellas,Hellas (disambiguation),0,"Redirecting Hellas to the original, and far more prevalent meaning, with back pointer to the disambiguation page."
Sant Kirpal Singh,Kirpal Singh,0,rm title
Bass Armstrong (DOA),Bass Armstrong,0,as per [[Talk:Dead or Alive (video game)]]'s talk page
Papal election,Papal conclave,0,WP:RM
Table Mountain (disambiguation),Table mountain (disambiguation),0,Tidy-up of table mountain pages...
Mossbauer effect,Mössbauer effect,0,Moved to the right spelling
Warp drive,Warp drive (Star Trek),0,
Nagahori Tsurumi-ryokuchi line (Osaka),Nagahori Tsurumi-ryokuchi Line (Osaka),0,
Tanimachi line (Osaka),Tanimachi Line (Osaka),0,
Sennichimae line (Osaka),Sennichimae Line (Osaka),0,
Disambiguation:Begum of Bhopal,Begum of Bhopal,0,
Department S(disambiguation),Department S (disambiguation),0,
Daybreak (single),Daybreak (song),0,naming conventions
Christa Schroeder,Christa Schröder,0,Preferred spelling acc. to German sources.
Abraham Zabludovsky,Abraham Zabludovsky (architect),0,there are two celebrities with this name
Post Polio syndrome,Post polio syndrome,0,to lowercase
"""Svika Pick""",Svika Pick,0,
Okanagan-Shuswap,Okanagan—Shuswap,0,mdash vs hyphen in title; changing of ref'd links underway
Son Sant Joan,Son Sant Joan Airport,0,
NASCAR Video Games,NASCAR video games,0,
Zotob,Zotob (computer worm),0,[[User_talk:A-Day#Tearin_s.2A.2A.2A_up.21|moving to more descriptive article name]]
Code Red II,Code Red II (computer worm),0,[[User_talk:A-Day#Tearin_s.2A.2A.2A_up.21|moving to more descriptive article name]]
Dabber,Dabber (computer worm),0,[[User_talk:A-Day#Tearin_s.2A.2A.2A_up.21|moving to more descriptive article name]]
Bad Times,Bad Times (computer virus hoax),0,[[User_talk:A-Day#Tearin_s.2A.2A.2A_up.21|moving to more descriptive article name]]
DK; King of Swing,DK-King of Swing,0,
Chung Ching Yee (Joe Boys),Joe Boys,0,
Oedipus Rex,Oedipus Rex (opera),0,Clarity
C plus plus,C++,0,Moving to the proper title
Paul witt,Paul Witt,0,
Chris Simmons,Chris Simmons,1,Fixing article name
Government of the River Plate,Government of the Río de la Plata,0,[[River Plate]] => [[Río de la Plata]] (see [[Talk:Río de la Plata]])
Lucero,Lucero (band),0,There is another Lucero
Fat Bastard (Austin Powers Character),Fat Bastard (Austin Powers),0,
Hyakunin Isshū,Hyakunin Isshu,0,Mistake in title. Vowel is short but was long.
List of astronomy journals,List of scientific journals in astronomy,0,more proper name :)
Future Farmers of America,National FFA Organization,0,Proper name of organization
"Strelley, Nottinghamshire","Strelley, Nottingham",0,In line with other areas in the City of Nottingham
The Z Sword,Z Sword,0,remove extra the
Fandango (ZZ Top album),Fandango! (ZZ Top album),0,Album title includes exclamation point
Hurricane Irene,Tropical Storm Irene (disambiguation),0,"Irene is used in the Atlantic, Western Pacific and Southern Hemisphere and an individual Irene article exists."
Salvage Data,Data salvaging,0,more consistent with text and other article titles
Cdr,Car and cdr,0,covers both functions
Piratpartiet,Pirate Party,0,Standards are English name. Let's keep this at Pirate Party until the party itself announces the official English name.
Preemption,Preemption (law),0,"The computing meaning is much more important.
Change to a disambig"
Miriam (TS),Miriam (actor),0,more suitable title
Intermediate nerve,Nervus intermedius,0,More common name
Jimmy Wales is a commie,Jimmy Wales,0,"rvv
"
Francis Bacon,Francis Bacon (philosopher),0,"disambig, two equally famous people"
Jerry Rushing/Temp,Jerry Rushing,0,Moving temp article to merge with main article.
Petr prucha,Petr Prucha,0,confusing the way it was
Alice Keppel/Temp,Alice Keppel,0,
Æther (disambiguation),Aether,0,"Generic topic dab, removing superfluous ""(disambiguation)"""
Lupus (disambiguation),Lupus,0,"Generic topci dab page, removing superfluous ""(disambiguation)"""
Order of Imitation of Christ,Order of the Imitation of Christ,0,"found the actual title of the order
"
Andromeda (disambiguation),Andromeda,0,requested move
We're on the Road to D'owhere,We're on the Road to D'ohwhere,0,Episode's name has been changed by administrator.
Crioulo,Crioulo (horse),0,"This is not the most frequent usage of ""Crioulo"", which should be a disamb page."
Panasonic DVX-100,Panasonic DVX100,0,Correct title without a hyphen
Ashtanga Yoga (disambiguation),Ashtanga Yoga,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
Jeffree star,Jeffree Star,0,naming convention
WNYT-TV,WNYT,0,no -TV
Coon (disambiguation),Coon,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
End of the World (disambiguation),End of the World,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
Firehawk,Firehawk (comics),0,Changing to topic-specific disambiguation title.
HIM (disambiguation),HIM,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
Joy (disambiguation),Joy,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
Kavar (disambiguation),Kavar,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
Ladino (disambiguation),Ladino,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
Transportation Management System,Transportation management system,0,
University College of Trollhättan/Uddevalla,University West,0,
Centipede Game,Centipede game,0,
Petersfield (disambiguation),Petersfield,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
Ripley (disambiguation),Ripley,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
Spook (disambiguation),Spook,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
Tree of life (disambiguation),Tree of life,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
Stuff (disambiguation),Stuff,0,""" (disambiguation)"" is superfluous, see [[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages|Malplaced disambiguation pages]]"
